id_sujet,serie,trial,item,correct,key_press,correct_response,rt,time_elapsed,test_part
3,2,2,4,1.0,6,6,114.0,286952,trial_2_2_4
3,2,3,1,1.0,7,7,605.0,294142,trial_2_3_1
3,2,3,2,1.0,9,9,600.0,294743,trial_2_3_2
3,2,3,3,1.0,3,3,578.0,295322,trial_2_3_3
3,2,3,4,1.0,6,6,468.0,295790,trial_2_3_4
3,2,3,5,1.0,5,5,431.0,296224,trial_2_3_5
3,2,4,1,1.0,8,8,1674.0,305483,trial_2_4_1
3,2,4,2,1.0,7,7,428.0,305913,trial_2_4_2
3,2,4,3,1.0,5,5,633.0,306547,trial_2_4_3
3,2,4,4,1.0,2,2,451.0,306999,trial_2_4_4
3,2,4,5,1.0,1,1,562.0,307561,trial_2_4_5
3,2,4,6,1.0,6,6,396.0,307958,trial_2_4_6
3,2,5,1,1.0,3,3,1776.0,318364,trial_2_5_1
3,2,5,2,1.0,2,2,369.0,318734,trial_2_5_2
3,2,5,3,,5,7,501.0,319236,trial_2_5_3
3,2,5,4,1.0,4,4,1015.0,320253,trial_2_5_4
3,2,5,5,1.0,1,1,439.0,320694,trial_2_5_5
3,2,5,6,,7,5,409.0,321104,trial_2_5_6
3,2,5,7,1.0,8,8,9683.0,330788,trial_2_5_7
3,2,6,1,1.0,6,6,1860.0,341258,trial_2_6_1
3,2,6,2,1.0,2,2,543.0,341802,trial_2_6_2
3,2,6,3,1.0,9,9,372.0,342174,trial_2_6_3
3,2,6,4,1.0,7,7,313.0,342488,trial_2_6_4
3,2,6,5,1.0,5,5,316.0,342804,trial_2_6_5
3,2,6,6,1.0,4,4,338.0,343143,trial_2_6_6
3,2,6,7,1.0,3,3,390.0,343533,trial_2_6_7
3,2,7,1,1.0,1,1,1412.0,352560,trial_2_7_1
3,2,7,2,1.0,9,9,401.0,352962,trial_2_7_2
3,2,7,3,1.0,8,8,289.0,353251,trial_2_7_3
3,2,7,4,1.0,7,7,357.0,353608,trial_2_7_4
3,2,7,5,1.0,4,4,538.0,354147,trial_2_7_5
3,2,7,6,1.0,5,5,500.0,354648,trial_2_7_6
3,2,8,1,1.0,7,7,2141.0,365409,trial_2_8_1
3,2,8,2,1.0,4,4,392.0,365803,trial_2_8_2
3,2,8,3,,2,5,352.0,366155,trial_2_8_3
3,2,8,4,,6,2,469.0,366624,trial_2_8_4
3,2,8,5,,9,6,1766.0,368390,trial_2_8_5
3,2,8,6,,8,9,261.0,368652,trial_2_8_6
3,2,8,7,,4,8,1657.0,370311,trial_2_8_7
3,2,9,1,1.0,7,7,1626.0,380553,trial_2_9_1
3,2,9,2,1.0,1,1,529.0,381083,trial_2_9_2
3,2,9,3,1.0,4,4,396.0,381479,trial_2_9_3
3,2,9,4,1.0,5,5,442.0,381922,trial_2_9_4
3,2,9,5,1.0,3,3,882.0,382806,trial_2_9_5
3,2,9,6,1.0,8,8,503.0,383309,trial_2_9_6
3,2,9,7,1.0,6,6,284.0,383593,trial_2_9_7
3,2,10,1,1.0,9,9,1897.0,395113,trial_2_10_1
3,2,10,2,1.0,6,6,411.0,395527,trial_2_10_2
3,2,10,3,1.0,5,5,367.0,395894,trial_2_10_3
3,2,10,4,1.0,3,3,452.0,396347,trial_2_10_4
3,2,10,5,,8,2,977.0,397325,trial_2_10_5
3,2,10,6,,6,8,436.0,397762,trial_2_10_6
3,2,10,7,,1,7,388.0,398150,trial_2_10_7
3,2,10,8,,7,1,262.0,398412,trial_2_10_8
3,2,11,1,,9,1,1305.0,409372,trial_2_11_1
3,2,11,2,,6,7,559.0,409931,trial_2_11_2
3,2,11,3,1.0,5,5,513.0,410445,trial_2_11_3
3,2,11,4,,1,6,642.0,411088,trial_2_11_4
3,2,11,5,,3,2,327.0,411415,trial_2_11_5
3,2,11,6,,4,3,274.0,411690,trial_2_11_6
3,2,11,7,,6,4,589.0,412280,trial_2_11_7
3,2,11,8,,7,8,274.0,412554,trial_2_11_8
3,2,12,1,1.0,3,3,1702.0,424898,trial_2_12_1
3,2,12,2,,6,7,244.0,425143,trial_2_12_2
3,2,12,3,1.0,8,8,1150.0,426292,trial_2_12_3
3,2,12,4,,4,6,385.0,426678,trial_2_12_4
3,2,12,5,,2,4,648.0,427327,trial_2_12_5
3,2,12,6,,5,2,298.0,427626,trial_2_12_6
3,2,12,7,,1,5,252.0,427879,trial_2_12_7
3,2,12,8,,9,1,290.0,428169,trial_2_12_8
3,2,12,9,,5,9,1816.0,429985,trial_2_12_9
3,2,13,1,1.0,4,4,1571.0,442223,trial_2_13_1
3,2,13,2,1.0,3,3,154.0,442377,trial_2_13_2
3,2,13,3,1.0,9,9,848.0,443226,trial_2_13_3
3,2,13,4,,5,7,385.0,443613,trial_2_13_4
3,2,13,5,1.0,1,1,544.0,444160,trial_2_13_5
3,2,13,6,,7,5,787.0,444947,trial_2_13_6
3,2,13,7,1.0,2,2,424.0,445371,trial_2_13_7
3,2,13,8,1.0,8,8,382.0,445754,trial_2_13_8
3,2,13,9,1.0,6,6,289.0,446043,trial_2_13_9
3,2,14,1,1.0,5,5,1485.0,457133,trial_2_14_1
3,2,14,2,1.0,6,6,128.0,457263,trial_2_14_2
3,2,14,3,1.0,8,8,628.0,457891,trial_2_14_3
3,2,14,4,1.0,2,2,439.0,458333,trial_2_14_4
3,2,14,5,1.0,3,3,486.0,458819,trial_2_14_5
3,2,14,6,1.0,7,7,482.0,459303,trial_2_14_6
3,2,14,7,1.0,9,9,393.0,459696,trial_2_14_7
3,2,14,8,1.0,1,1,274.0,459971,trial_2_14_8
3,3,1,1,,9,2,77079.0,564494,trial_3_1_1
3,3,1,2,,8,3,159.0,564654,trial_3_1_2
3,3,1,3,,7,1,152.0,564808,trial_3_1_3
3,3,2,1,1.0,1,1,706.0,571091,trial_3_2_1
