id_sujet,serie,trial,item,correct,key_press,correct_response,rt,time_elapsed,test_part
1,2,1,1,1,7,7,1105.52,153541,trial_2_1_1
1,2,1,2,,3,6,264.03,153806,trial_2_1_2
1,2,1,3,,6,8,240.965,154048,trial_2_1_3
1,2,2,1,,8,5,4256.59,163812,trial_2_2_1
1,2,2,2,,3,8,257.015,164071,trial_2_2_2
1,2,2,3,,6,2,33.965,164106,trial_2_2_3
1,2,2,4,,5,4,43.75,164150,trial_2_2_4
1,2,3,1,1,7,7,3243.94,173901,trial_2_3_1
1,2,3,2,,3,9,230.3,174132,trial_2_3_2
1,2,3,3,,5,1,226.825,174360,trial_2_3_3
1,2,3,4,,6,8,11.99,174373,trial_2_3_4
1,2,3,5,,7,2,133.995,174508,trial_2_3_5
1,2,4,1,,7,6,2900.25,184917,trial_2_4_1
1,2,4,2,1,3,3,172.025,185090,trial_2_4_2
1,2,4,3,,5,1,172.765,185264,trial_2_4_3
1,2,4,4,,6,4,31.04,185296,trial_2_4_4
1,2,4,5,,7,5,138.725,185436,trial_2_4_5
1,2,4,6,,6,9,183.225,185620,trial_2_4_6
1,2,5,1,,8,2,190.595,194323,trial_2_5_1
1,2,5,2,1,8,8,7800.96,202125,trial_2_5_2
1,2,5,3,,6,4,158.045,202284,trial_2_5_3
1,2,5,4,,5,3,72.91,202358,trial_2_5_4
1,2,5,5,,3,9,43.02,202402,trial_2_5_5
1,2,5,6,,7,5,262.9,202666,trial_2_5_6
1,2,5,7,,6,7,325.045,202992,trial_2_5_7
1,2,6,1,,8,6,1763.72,213268,trial_2_6_1
1,2,6,2,,6,8,48.175,213318,trial_2_6_2
1,2,6,3,,5,3,82.98,213402,trial_2_6_3
1,2,6,4,,4,7,88.955,213492,trial_2_6_4
1,2,6,5,,3,9,12.94,213506,trial_2_6_5
1,2,6,6,,7,2,152.985,213660,trial_2_6_6
1,2,6,7,,3,5,278.96,213940,trial_2_6_7
1,2,7,1,,8,3,880.635,222332,trial_2_7_1
1,2,7,2,,6,7,147.895,222481,trial_2_7_2
1,2,7,3,,5,6,24.895,222507,trial_2_7_3
1,2,7,4,,7,9,248.99,222757,trial_2_7_4
1,2,7,5,,3,5,330.95,223089,trial_2_7_5
1,2,7,6,,6,2,41.04,223131,trial_2_7_6
1,2,8,1,,8,3,505.495,232150,trial_2_8_1
1,2,8,2,,6,1,96.255,232248,trial_2_8_2
1,2,8,3,,5,9,146.525,232396,trial_2_8_3
1,2,8,4,,3,6,91.175,232488,trial_2_8_4
1,2,8,5,,4,2,0.68,232490,trial_2_8_5
1,2,8,6,,7,8,183.06,232674,trial_2_8_6
1,2,8,7,,6,7,233.025,232908,trial_2_8_7
1,2,9,1,,8,2,1315.1,242736,trial_2_9_1
1,2,9,2,1,6,6,32.31,242769,trial_2_9_2
1,2,9,3,,5,7,190.93,242961,trial_2_9_3
1,2,9,4,,4,3,56.96,243019,trial_2_9_4
